name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;ranking;bestgame;alltime;cabinets;freeplay;short_title;
"odeontw2";"Odeon Twister 2 (v202.19)";"1998";"CD Express";YES;cubo;NO;-;-;YES;NO;NO;cubo;NO;YES;YES;NO;amiga/cubo.cpp;"Mame 0.140u1";"2010-11-08";"Mame 0.254";"2023-04-27";3;7;2;2;1;RASTER;"0";HORIZONTAL;724;567;49.890391;"joystick (8-way),lightgun";"CRT 31kHz";"Motorola MC68EC020,MOS 8520 CIA";"maincpu Motorola MC68EC020 @14.18758 MHz, cia_0 MOS 8520 CIA @0.709379 MHz, cia_1 MOS 8520 CIA @0.709379 MHz";"Speaker,MOS 8364 ""Paula"",CD/DA";"lspeaker Speaker, rspeaker Speaker, paula MOS 8364 ""Paula"" @3.546895 MHz, cdda CD/DA @0.441 MHz";PRELIMINARY;PRELIMINARY;GOOD;IMPERFECT;IMPERFECT;GOOD;GOOD;BADDUMP;cdrom;"MultiGame / Compilation";MultiGame;"Odeon Twister";Italian;-;YES;YES;YES;YES;YES;NO;YES;YES;NO;NO;NO;NO;YES;???;-;-;-;0;YES;NO;NO;NO;Italian;-;-;-;NO;"Odeon Twister 2";
offroadc;"Off Road Challenge (v1.63)";"1997";Midway;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;midway/midvunit.cpp;"Mame 0.63";"2003-01-12";"Mame 0.254";"2023-04-27";1;8;4;1;1;RASTER;"0";HORIZONTAL;512;400;57.349016;"paddle,pedal";"CRT 31kHz";"Texas Instruments TMS320C31,Analog Devices ADSP-2105";"maincpu Texas Instruments TMS320C31 @50 MHz, dcs:dcs Analog Devices ADSP-2105 @10 MHz";"Speaker,DMA-driven DAC";"dcs:mono Speaker, dcs:dac DMA-driven DAC";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Driving / Race (chase view)";Driving;"Off Road";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"1P";-;"https://www.youtube.com/watch?v=q5tpDaOIZUo";-;0;NO;NO;NO;NO;English;"80 to 90 (Very Good)";"1997";-;NO;"Off Road Challenge";
offtwall;"Off the Wall (2/3-player upright)";"1991";"Atari Games";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;atari/offtwall.cpp;"Mame 0.36b3";"1999-08-22";"Mame 0.254";"2023-04-27";3;4;2;1;1;RASTER;"0";HORIZONTAL;336;240;59.922743;"joystick (8-way),dial";"CRT 15kHz";"Motorola MC68000,MOS Technology 6502";"maincpu Motorola MC68000 @7.15909 MHz, jsa:cpu MOS Technology 6502 @1.789772 MHz";"Speaker,Atari JSA III Sound Board,YM2151 OPM";"mono Speaker, jsa Atari JSA III Sound Board, jsa:ym2151 YM2151 OPM @3.579545 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;NODUMP;-;"Ball & Paddle / Breakout";"Ball & Paddle";-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"3P sim";-;"https://www.youtube.com/watch?v=uyEsROVtGug";-;0;NO;NO;NO;NO;English;"70 to 80 (Good)";-;-;NO;"Off the Wall";
otwalls;"Off the Wall (Sente) (10/16/84)";"1984";Bally/Sente;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;midway/balsente.cpp;"Mame 0.36b5";"1999-09-18";"Mame 0.254";"2023-04-27";2;0;2;1;1;RASTER;"0";HORIZONTAL;256;240;59.185606;"joystick (2-way),dial";"CRT 15kHz";"Motorola MC6809E,Zilog Z80";"maincpu Motorola MC6809E @1.25 MHz, audio6vb:audiocpu Zilog Z80 @4 MHz";"Speaker,MM5837 Digital Noise Stream,CEM3394 Synthesizer Voice";"audio6vb:mono Speaker, audio6vb:noise MM5837 Digital Noise Stream, audio6vb:cem1 CEM3394 Synthesizer Voice, audio6vb:cem2 CEM3394 Synthesizer Voice, audio6vb:cem3 CEM3394 Synthesizer Voice, audio6vb:cem4 CEM3394 Synthesizer Voice, audio6vb:cem5 CEM3394 Synthesizer Voice, audio6vb:cem6 CEM3394 Synthesizer Voice";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Sports / Tennis";Sports;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";https://archive.org/details/arcade_otwalls;"https://www.youtube.com/watch?v=WV8R8TaaF4A";-;0;NO;NO;NO;NO;English;"50 to 60 (Not Good Enough)";-;-;NO;"Off the Wall";
officeye;"Office Yeo In Cheon Ha (version 1.2)";"2001";Danbi;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;misc/crystal.cpp;"Mame 0.125u4";"2008-06-05";"Mame 0.254";"2023-04-27";3;3;2;2;1;RASTER;"0";HORIZONTAL;320;240;60.054442;only_buttons;"CRT 15kHz";"ADChips SE3208";"maincpu ADChips SE3208 @42.95454 MHz";"Speaker,MagicEyes VRender0 Sound Engine";"vr0soc:lspeaker Speaker, vr0soc:rspeaker Speaker, vr0soc:vr0snd MagicEyes VRender0 Sound Engine @42.95454 MHz";PRELIMINARY;PRELIMINARY;GOOD;IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;-;"Multiplay / Mini-Games";Multiplay;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;???;-;-;-;0;NO;NO;NO;NO;English;-;-;-;YES;"Office Yeo In Cheon Ha";
offrthnd;"Offroad Thunder";"2000";"Midway Games";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;YES;NO;midway/midqslvr.cpp;"Mame 0.140u3";"2010-12-23";"Mame 0.254";"2023-04-27";1;103;0;0;1;RASTER;"0";HORIZONTAL;640;480;53.178707;keyboard;"CRT 31kHz";"Intel Pentium II,AM9517A";"maincpu Intel Pentium II @100 MHz, dma8237_1 AM9517A @4.772727 MHz, dma8237_2 AM9517A @4.772727 MHz";-;-;PRELIMINARY;PRELIMINARY;GOOD;PRELIMINARY;GOOD;GOOD;GOOD;NODUMP;harddisk;"Driving / Race (chase view)";Driving;"Off Road";English;-;YES;YES;YES;NO;NO;NO;YES;YES;NO;NO;NO;NO;YES;"1P";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Offroad Thunder";
ohmygod;"Oh My God! (Japan)";"1993";Atlus;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;atlus/ohmygod.cpp;"Mame 0.37b3 (0.39)";"2000-05-27";"Mame 0.254";"2023-04-27";2;1;2;1;1;RASTER;"0";HORIZONTAL;320;240;60.000000;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000";"maincpu Motorola MC68000 @12 MHz";"Speaker,OKI MSM6295 ADPCM";"mono Speaker, oki OKI MSM6295 ADPCM @1.75 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;PRELIMINARY;GOOD;GOOD;-;"Puzzle / Drop";Puzzle;-;Japanese;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=71HnW-xNvfg";-;0;NO;NO;NO;NO;Japanese;"50 to 60 (Not Good Enough)";-;-;NO;"Oh My God!";
ohpaipee;"Oh! Paipee (Japan 890227)";"1989";Nichibutsu;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"nichibutsu/nbmj8900.cpp";"Mame 0.135u1";"2009-11-19";"Mame 0.254";"2023-04-27";2;2;2;1;1;RASTER;"270";VERTICAL;512;240;60.000000;"joystick (4-way)";"CRT 15kHz";"Zilog Z80";"maincpu Zilog Z80 @5 MHz";"Speaker,YM3812 OPL2,8-Bit R-2R DAC";"speaker Speaker, ymsnd YM3812 OPL2 @2.5 MHz, dac 8-Bit R-2R DAC";IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;-;"Puzzle / Match";Puzzle;-;Japanese;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"1P";-;-;-;0;YES;NO;NO;NO;Japanese;"50 to 60 (Not Good Enough)";-;-;NO;"Oh! Paipee";
oisipuzl;"Oishii Puzzle Ha Irimasenka";"1993";"Sunsoft / Atlus";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;seta/seta.cpp;"Mame 0.37b9 (0.45)";"2000-11-06";"Mame 0.254";"2023-04-27";2;2;1;2;1;RASTER;"0";HORIZONTAL;320;224;60.000000;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000";"maincpu Motorola MC68000 @16 MHz";"Speaker,Seta X1-010";"lspeaker Speaker, rspeaker Speaker, x1snd Seta X1-010 @16 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Puzzle / Misc.";Puzzle;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=SkeB5ZxBz1Y";-;0;NO;NO;NO;NO;English;"50 to 60 (Not Good Enough)";-;-;NO;"Oishii Puzzle Ha Irimasenka";
olibochu;"Oli-Boo-Chu (USA)";"1981";"Irem (GDI license)";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;irem/olibochu.cpp;"Mame 0.37b5 (0.41)";"2000-07-27";"Mame 0.254";"2023-04-27";2;0;2;1;1;RASTER;"270";VERTICAL;256;240;60.000000;"joystick (4-way)";"CRT 15kHz";"Zilog Z80";"maincpu Zilog Z80 @3.72 MHz, audiocpu Zilog Z80 @3.72 MHz";"Speaker,AY-3-8910A PSG,HC-55516";"mono Speaker, aysnd AY-3-8910A PSG @1.536 MHz, cvsd HC-55516";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;GOOD;-;"Maze / Collect";Maze;-;English;-;YES;YES;NO;YES;NO;YES;YES;NO;NO;NO;NO;NO;YES;"2P alt";https://archive.org/details/arcade_olibochu;"https://www.youtube.com/watch?v=ITZLqNK9hHY";-;0;NO;NO;NO;NO;English;"30 to 40 (Amendable)";-;"29043;29031";NO;Oli-Boo-Chu;
ollie;"Ollie King (GDX-0007)";"2003";"Sega / Amusement Vision";YES;chihiro;NO;-;-;YES;NO;NO;chihiro;NO;YES;YES;NO;sega/chihiro.cpp;"Mame 0.138u4";"2010-07-21";"Mame 0.254";"2023-04-27";2;6;2;0;1;RASTER;"0";HORIZONTAL;640;480;60.000000;"joystick (8-way)";"CRT 31kHz";"Intel Pentium III,AM9517A,Toshiba TMP90PH44,Hitachi SH-4 (little),Microchip PIC16C622";"maincpu Intel Pentium III @733.333333 MHz, pci:01.0:dma8237_2 AM9517A @4.772727 MHz, pci:01.0:dma8237_1 AM9517A @4.772727 MHz, 837_13551:iomcu Toshiba TMP90PH44 @10 MHz, rom_board:dimmcpu Hitachi SH-4 (little) @200 MHz, rom_board:pic Microchip PIC16C622 @20 MHz";CD/DA;"rom_board:pci:01.0:ide:0:gdrom:cdda CD/DA @0.441 MHz";PRELIMINARY;PRELIMINARY;GOOD;PRELIMINARY;GOOD;GOOD;GOOD;GOOD;cdrom;"Sports / Skateboarding";Sports;-;English;-;YES;YES;YES;NO;YES;YES;YES;YES;YES;NO;NO;NO;YES;"1P";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Ollie King";
omega;Omega;"1986";"Nihon System";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;misc/freekick.cpp;"Mame 0.53";"2001-08-12";"Mame 0.254";"2023-04-27";2;2;2;1;1;RASTER;"270";VERTICAL;256;224;60.836502;dial;"CRT 15kHz";"MC-8123";"maincpu MC-8123 @3.72 MHz";"Speaker,SN76489A";"mono Speaker, sn1 SN76489A @3.72 MHz, sn2 SN76489A @3.72 MHz, sn3 SN76489A @3.72 MHz, sn4 SN76489A @3.72 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Ball & Paddle / Breakout";"Ball & Paddle";-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;"https://www.youtube.com/watch?v=_A9OYXJs9ZM";-;0;NO;NO;NO;NO;English;"60 to 70 (Passable)";"1986";"29043;29031";NO;Omega;
omegaf;"Omega Fighter";"1989";UPL;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"upl/ninjakd2.cpp";"Mame 0.37b10 (0.46)";"2000-12-05";"Mame 0.254";"2023-04-27";2;2;2;1;1;RASTER;"270";VERTICAL;256;192;59.610000;"joystick (8-way)";"CRT 15kHz";"Zilog Z80";"maincpu Zilog Z80 @6 MHz, soundcpu Zilog Z80 @5 MHz";"Speaker,YM2203 OPN";"mono Speaker, 2203.1 YM2203 OPN @1.5 MHz, 2203.2 YM2203 OPN @1.5 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Flying Vertical";Shooter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=Yy_7tqX147M";-;0;NO;NO;NO;YES;English;"50 to 60 (Not Good Enough)";-;-;NO;"Omega Fighter";
omegrace;"Omega Race (set 1)";"1981";Midway;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;midway/omegrace.cpp;"Mame 0.28";"1997-09-07";"Mame 0.254";"2023-04-27";2;2;2;1;1;VECTOR;"0";HORIZONTAL;0;0;40.000000;dial;-;"Zilog Z80";"maincpu Zilog Z80 @3 MHz, audiocpu Zilog Z80 @1.5 MHz";"Speaker,AY-3-8912A PSG";"mono Speaker, ay1 AY-3-8912A PSG @1 MHz, ay2 AY-3-8912A PSG @1 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;PRELIMINARY;GOOD;GOOD;-;"Shooter / Field";Shooter;-;English;"Black & White Vectorial";YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;"https://www.youtube.com/watch?v=l3e4qZdCSlM";-;0;NO;NO;NO;NO;"Black & White Vectorial";"90 to 100 (Best Games)";-;"29043;29031";YES;"Omega Race";
onetwo;"One + Two";"1997";Barko;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;misc/onetwo.cpp;"Mame 0.81u9";"2004-04-28";"Mame 0.254";"2023-04-27";2;3;2;1;1;RASTER;"0";HORIZONTAL;512;256;60.000000;"joystick (8-way)";"CRT 15kHz";"Zilog Z80";"maincpu Zilog Z80 @4 MHz, audiocpu Zilog Z80 @4 MHz";"Speaker,YM3812 OPL2,OKI MSM6295 ADPCM";"mono Speaker, ymsnd YM3812 OPL2 @4 MHz, oki OKI MSM6295 ADPCM @2 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Puzzle / Match";Puzzle;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;"https://www.youtube.com/watch?v=EK1xjza3aik";-;0;YES;NO;NO;NO;English;"50 to 60 (Not Good Enough)";-;-;NO;"One + Two";
oneshot;"One Shot One Kill";"1996";Promat;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;misc/oneshot.cpp;"Mame 0.62";"2002-11-12";"Mame 0.254";"2023-04-27";2;1;2;1;1;RASTER;"0";HORIZONTAL;320;240;56.000000;lightgun;"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @12 MHz, audiocpu Zilog Z80 @3.375 MHz";"Speaker,YM3812 OPL2,OKI MSM6295 ADPCM";"mono Speaker, ymsnd YM3812 OPL2 @3.375 MHz, oki OKI MSM6295 ADPCM @1.25 MHz";IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;-;"Shooter / Gun";Shooter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=IQzE9cTaHkw";-;0;NO;NO;NO;NO;English;"30 to 40 (Amendable)";-;-;YES;"One Shot One Kill";
"onna34ro";"Onna Sanshirou - Typhoon Gal";"1985";Taito;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;taito/flstory.cpp;"Mame 0.57";"2002-01-01";"Mame 0.254";"2023-04-27";2;2;2;1;1;RASTER;"0";HORIZONTAL;256;224;59.871277;"joystick (8-way)";"CRT 15kHz";"Zilog Z80,Motorola MC68705P5";"maincpu Zilog Z80 @5.3665 MHz, audiocpu Zilog Z80 @4 MHz, bmcu:mcu Motorola MC68705P5 @3.72 MHz";"Speaker,YM2149 SSG,MSM5232,8-Bit R-2R DAC";"speaker Speaker, aysnd YM2149 SSG @2 MHz, msm MSM5232 @2 MHz, dac 8-Bit R-2R DAC";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;"https://www.youtube.com/watch?v=-oLUPXBXV50";-;0;NO;NO;NO;NO;English;"50 to 60 (Not Good Enough)";"1985";"29043;29031";YES;"Onna Sanshirou - Typhoon Gal";
ooparts;"OOPArts (prototype, joystick hack)";"1992";hack;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;"sega/segac2.cpp";"Mame 0.236";"2021-09-28";"Mame 0.254";"2023-04-27";2;3;2;1;1;RASTER;"270";VERTICAL;256;224;59.922743;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000";"maincpu Motorola MC68000 @8.948862 MHz";"Sega 315-5313 Megadrive VDP,Sega VDP PSG,Speaker,YM3438 OPN2C,NEC uPD7759";"gen_vdp Sega 315-5313 Megadrive VDP @53.693175 MHz, gen_vdp:snsnd Sega VDP PSG @3.579545 MHz, mono Speaker, ymsnd YM3438 OPN2C @7.670453 MHz, upd NEC uPD7759 @0.64 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Ball & Paddle / Breakout";"Ball & Paddle";-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=eRSd9TUkG24";-;0;NO;NO;NO;NO;English;-;"1992";-;NO;OOPArts;
coozumou;"Oozumou - The Grand Sumo (DECO Cassette) (Japan)";"1984";"Data East Corporation";YES;decocass;NO;-;-;YES;NO;NO;decocass;NO;YES;NO;NO;dataeast/decocass.cpp;"Mame 0.145u4";"2012-03-11";"Mame 0.254";"2023-04-27";2;2;2;1;1;RASTER;"270";VERTICAL;256;240;57.444853;"joystick (8-way),joystick (analog)";"CRT 15kHz";"DECO 222,MOS Technology 6502,Intel 8041A";"maincpu DECO 222 @0.75 MHz, audiocpu MOS Technology 6502 @0.5 MHz, mcu Intel 8041A @6 MHz";"Speaker,AY-3-8910A PSG";"mono Speaker, ay1 AY-3-8910A PSG @1.5 MHz, ay2 AY-3-8910A PSG @1.5 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Sports / Sumo";Sports;-;Japanese;-;YES;YES;NO;YES;YES;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;"https://www.youtube.com/watch?v=isPPkTqjZXE";-;0;NO;NO;NO;NO;Japanese;"30 to 40 (Amendable)";-;"29043;29031";NO;"Oozumou - The Grand Sumo";
opaopa;"Opa Opa (MC-8123, 317-0042)";"1987";Sega;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;sega/segae.cpp;"Mame 0.74u2";"2003-10-06";"Mame 0.254";"2023-04-27";2;2;2;1;1;RASTER;"0";HORIZONTAL;256;192;59.922738;"joystick (8-way)";"CRT 15kHz";"MC-8123";"maincpu MC-8123 @5.369317 MHz";"Speaker,Sega 315-5124 SMS1 VDP,Sega VDP PSG";"mono Speaker, vdp1 Sega 315-5124 SMS1 VDP @10.738635 MHz, vdp1:snsnd Sega VDP PSG @3.579545 MHz, vdp2 Sega 315-5124 SMS1 VDP @10.738635 MHz, vdp2:snsnd Sega VDP PSG @3.579545 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Maze / Collect";Maze;"Fantasy Zone";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=T72MRQZwZUw";-;0;NO;NO;NO;NO;English;"70 to 80 (Good)";-;-;NO;"Opa Opa";
thunderh;"Operation Thunder Hurricane (ver EAA)";"1997";Konami;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;konami/gticlub.cpp;"Mame 0.100u1";"2005-09-15";"Mame 0.254";"2023-04-27";2;3;2;2;1;RASTER;"0";HORIZONTAL;512;384;60.000000;"joystick (8-way)";"CRT 25kHz";"IBM PowerPC 403GA,Motorola MC68000,Analog Devices ADSP21062 ""SHARC""";"maincpu IBM PowerPC 403GA @32 MHz, audiocpu Motorola MC68000 @16 MHz, dsp Analog Devices ADSP21062 ""SHARC"" @36 MHz, gn680 Motorola MC68000 @16 MHz";"Speaker,Ricoh RF5C400";"lspeaker Speaker, rspeaker Speaker, rfsnd Ricoh RF5C400 @16.9344 MHz";PRELIMINARY;PRELIMINARY;GOOD;IMPERFECT;IMPERFECT;GOOD;GOOD;GOOD;-;"Shooter / Gun";Shooter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=UImHjic9lPc";-;0;NO;NO;NO;NO;English;-;-;-;NO;"Operation Thunder Hurricane";
othunder;"Operation Thunderbolt (World, rev 1)";"1988";"Taito Corporation Japan";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;taito/othunder.cpp;"Mame 0.37b11 (0.47)";"2001-01-17";"Mame 0.254";"2023-04-27";2;2;2;1;1;RASTER;"0";HORIZONTAL;320;240;60.000000;"joystick (analog)";"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @12 MHz, audiocpu Zilog Z80 @4 MHz";"Speaker,YM2610 OPNB,Volume Filter";"speaker Speaker, ymsnd YM2610 OPNB @8 MHz, 2610.0l Volume Filter, 2610.0r Volume Filter, 2610.1l Volume Filter, 2610.1r Volume Filter, 2610.2l Volume Filter, 2610.2r Volume Filter";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Gun";Shooter;"Operation Wolf";English;-;YES;YES;NO;YES;NO;YES;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=sinS-Q_tsws";-;70;NO;NO;NO;NO;English;"90 to 100 (Best Games)";"1988";-;NO;"Operation Thunderbolt";
optiger;"Operation Tiger (Ver 2.14 O)";"1998";Taito;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;taito/taitopjc.cpp;"Mame 0.129";"2009-01-04";"Mame 0.254";"2023-04-27";2;2;1;0;1;RASTER;"0";HORIZONTAL;480;384;60.000000;lightgun;"CRT 25kHz";"IBM PowerPC 603E,Toshiba TMP95C063,Texas Instruments TMS32053,Panasonic MN1020012A";"maincpu IBM PowerPC 603E @100 MHz, iocpu Toshiba TMP95C063 @25 MHz, dsp Texas Instruments TMS32053 @40 MHz, mn10200 Panasonic MN1020012A @10 MHz";-;-;PRELIMINARY;GOOD;GOOD;PRELIMINARY;IMPERFECT;GOOD;GOOD;GOOD;-;"Shooter / Gun";Shooter;"Operation Wolf";English;-;YES;YES;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;"70 to 80 (Good)";-;-;NO;"Operation Tiger";
opwolf;"Operation Wolf (World, set 1)";"1987";"Taito Corporation Japan";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;taito/opwolf.cpp;"Mame 0.37b11 (0.47)";"2001-01-17";"Mame 0.254";"2023-04-27";1;2;2;2;1;RASTER;"0";HORIZONTAL;320;240;60.000000;lightgun;"CRT 15kHz";"Motorola MC68000,Zilog Z80,NEC uPD78C11";"maincpu Motorola MC68000 @8 MHz, audiocpu Zilog Z80 @4 MHz, cchip:upd7811 NEC uPD78C11 @12 MHz";"Speaker,YM2151 OPM,OKI MSM5205 ADPCM";"lspeaker Speaker, rspeaker Speaker, ymsnd YM2151 OPM @4 MHz, msm0 OKI MSM5205 ADPCM @0.384 MHz, msm1 OKI MSM5205 ADPCM @0.384 MHz";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Gun";Shooter;"Operation Wolf";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"1P";-;"https://www.youtube.com/watch?v=Oux6mZjED94";-;60;NO;NO;NO;NO;English;"90 to 100 (Best Games)";"1987";-;NO;"Operation Wolf";
"opwolf3";"Operation Wolf 3 (World)";"1994";"Taito Corporation Japan";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;taito/slapshot.cpp;"Mame 0.68";"2003-05-15";"Mame 0.254";"2023-04-27";2;2;4;2;1;RASTER;"0";HORIZONTAL;320;224;60.000000;lightgun;"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @16 MHz, audiocpu Zilog Z80 @4 MHz";"Speaker,YM2610B OPNB2";"lspeaker Speaker, rspeaker Speaker, ymsnd YM2610B OPNB2 @8 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Gun";Shooter;"Operation Wolf";English;-;YES;YES;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=8GC3QRZWS3k";-;0;NO;NO;NO;NO;English;"50 to 60 (Not Good Enough)";"1994";-;NO;"Operation Wolf 3";
orbatak;"Orbatak (prototype)";"1995";"American Laser Games";YES;"3dobios";NO;-;-;YES;NO;NO;"3dobios";NO;YES;YES;NO;"misc/3do.cpp";"Mame 0.142u4";"2011-05-24";"Mame 0.254";"2023-04-27";1;3;0;0;1;RASTER;"0";HORIZONTAL;1280;240;58.622485;"joystick (8-way)";"CRT 15kHz";"ARM7 (big)";"maincpu ARM7 (big) @12.5 MHz";-;-;PRELIMINARY;PRELIMINARY;GOOD;PRELIMINARY;GOOD;GOOD;GOOD;GOOD;cdrom;"Sports / Misc.";Sports;-;English;-;YES;YES;YES;NO;YES;NO;YES;YES;NO;NO;NO;NO;YES;???;-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;Orbatak;
